0;toll_the_dead;Toll the Dead;necromancy;PHB;wizard,cleric,warlock
0;eldritch_blast;Eldritch Blast;evocation;PHB;warlock
0;blade_ward;Blade Ward;abjuration;PHB;bard,wizard,warlock,sorcerer
0;chill_touch;Chill Touch;necromancy;PHB;wizard,warlock,sorcerer
0;dancing_lights;Dancing Lights;illusion;PHB;bard,wizard,sorcerer,artificer
0;fire_bolt;Fire Bolt;evocation;PHB;wizard,sorcerer,artificer
0;friends;Friends;enchantment;PHB;bard,wizard,warlock,sorcerer
0;light;Light;evocation;PHB;bard,wizard,cleric,sorcerer,artificer
0;mage_hand;Mage Hand;conjuration;PHB;bard,wizard,warlock,sorcerer,artificer
0;mending;Mending;transmutation;PHB;bard,wizard,druid,cleric,sorcerer,artificer
0;message;Message;transmutation;PHB;bard,wizard,sorcerer,druid,artificer
0;minor_illusion;Minor Illusion;illusion;PHB;bard,wizard,warlock,sorcerer
0;poison_spray;Poison Spray;conjuration;PHB;wizard,druid,warlock,sorcerer,artificer
0;prestidigitation;Prestidigitation;transmutation;PHB;bard,wizard,warlock,sorcerer,artificer
0;ray_of_frost;Ray of Frost;evocation;PHB;wizard,sorcerer,artificer
0;shocking_grasp;Shocking Grasp;evocation;PHB;wizard,sorcerer,artificer
0;true_strike;True Strike;divination;PHB;bard,wizard,warlock,sorcerer,artificer
0;spare_the_dying;Spare the Dying;necromancy;PHB;cleric,artificer
0;acid_splash;Acid Splash;conjuration;PHB;wizard,sorcerer,artificer
0;vicious_mockery;Vicious Mockery;enchantment;PHB;bard
0;sacred_flame;Sacred Flame;evocation;PHB;cleric
0;resistance;Resistance;abjuration;PHB;druid,cleric,artificer
0;guidance;Guidance;divination;PHB;druid,cleric,artificer
0;thaumaturgy;Thaumaturgy;transmutation;PHB;cleric
0;thunderclap;Thunderclap;evocation;PHB;bard,wizard,druid,warlock,sorcerer,artificer
0;thorn_whip;Thorn Whip;transmutation;PHB;druid,artificer
0;shillelagh;Shillelagh;transmutation;PHB;druid
0;produce_flame;Produce Flame;conjuration;PHB;druid
0;mind_sliver;Mind Sliver;enchantment;PHB;wizard,warlock,sorcerer
0;druidcraft;Druidcraft;transmutation;PHB;druid
0;word_of_radiance;Word of Radiance;evocation;PHB;cleric
0;elementalism;Elementalism;transmutation;PHB;druid,sorcerer,wizard,artificer
0;sorcerous_burst;Sorcerous Burst;evocation;PHB;sorcerer
0;starry_wisp;Starry Wisp;evocation;PHB;bard,druid
1;longstrider;Longstrider;transmutation;PHB;bard,wizard,druid,ranger,artificer
1;wrathful_smite;Wrathful Smite;necromancy;PHB;paladin
1;mage_armor;Mage Armor;abjuration;PHB;wizard,sorcerer
1;magic_missile;Magic Missile;evocation;PHB;wizard,sorcerer
1;protection_from_evil_and_good;Protection from Evil and Good;abjuration;PHB;wizard,druid,cleric,warlock,paladin
1;goodberry;Goodberry;conjuration;PHB;druid,ranger
